SKU,init_stock,vlt
SKU0,9,1
SKU1,306,1
SKU2,12,1
SKU3,112,3
SKU4,2,3
SKU5,43,1
SKU6,42,1
SKU7,11,6
SKU8,58,4
SKU9,5,2
SKU10,7,3
SKU11,69,2
SKU12,22,1
SKU13,5,1
SKU14,37,4
SKU15,82,8
SKU16,28,4
SKU17,62,2
SKU18,9,1
SKU19,12,2
SKU20,52,2
SKU21,13,1
SKU22,77,3
SKU23,50,2
SKU24,52,1
SKU25,79,2
SKU26,41,3
SKU27,32,1
SKU28,19,3
SKU29,9,2
SKU30,18,1
SKU31,19,1
SKU32,25,4
SKU33,15,2
SKU34,1,2
SKU35,123,1
SKU36,30,5
SKU37,0,1
SKU38,0,1
SKU39,3,1
SKU40,30,1
SKU41,33,1
SKU42,11,1
SKU43,12,1
SKU44,18,1
SKU45,102,3
SKU46,12,1
SKU47,17,1
SKU48,0,1
SKU49,21,1
SKU50,94,1
SKU51,2,1
SKU52,13,2
SKU53,5,2
SKU54,15,1
SKU55,12,2
SKU56,107,1
SKU57,3,1
SKU58,79,1
SKU59,0,1
SKU60,18,2
SKU61,41,2
SKU62,0,1
SKU63,9,1
SKU64,13,1
SKU65,1,2
SKU66,26,3
SKU67,2,1
SKU68,6,3
SKU69,10,1
SKU70,82,1
SKU71,41,1
SKU72,9,3
SKU73,37,1
SKU74,99,1
SKU75,6,1
SKU76,6,1
SKU77,3,1
SKU78,17,1
SKU79,26,1
SKU80,208,2
SKU81,64,1
SKU82,16,1
SKU83,12,2
SKU84,15,1
SKU85,12,2
SKU86,7,1
SKU87,1,2
SKU88,159,2
SKU89,9,1
SKU90,16,1
SKU91,13,1
SKU92,89,2
SKU93,102,9
SKU94,13,1
SKU95,6,3
SKU96,44,1
SKU97,2,1
SKU98,9,1
SKU99,16,2
SKU100,17,1
SKU101,51,2
SKU102,25,1
SKU103,30,1
SKU104,1,1
SKU105,7,1
SKU106,1,1
SKU107,20,1
SKU108,17,1
SKU109,0,1
SKU110,600,3
SKU111,18,1
SKU112,81,2
SKU113,1,1
SKU114,7,1
SKU115,6,1
SKU116,16,2
SKU117,0,1
SKU118,11,1
SKU119,136,3
SKU120,5,1
SKU121,27,2
SKU122,40,2
SKU123,6,1
SKU124,189,2
SKU125,56,1
SKU126,47,10
SKU127,11,1
SKU128,11,1
SKU129,15,1
SKU130,6,1
SKU131,31,2
SKU132,2,2
SKU133,7,1
SKU134,8,1
SKU135,45,1
SKU136,3,1
SKU137,15,1
SKU138,13,1
SKU139,33,3
SKU140,7,1
SKU141,2,2
SKU142,24,1
SKU143,67,1
SKU144,33,1
SKU145,0,1
SKU146,1,1
SKU147,11,1
SKU148,5,2
SKU149,298,4
SKU150,207,1
SKU151,41,7
SKU152,34,1
SKU153,57,3
SKU154,21,1
SKU155,4,1
SKU156,6,1
SKU157,44,2
SKU158,12,2
SKU159,14,1
SKU160,42,1
SKU161,2,1
SKU162,29,3
SKU163,26,5
SKU164,3,1
SKU165,19,1
SKU166,153,1
SKU167,48,1
SKU168,21,1
SKU169,8,1
SKU170,4,2
SKU171,29,1
SKU172,7,1
SKU173,3,2
SKU174,20,1
SKU175,40,1
SKU176,27,2
SKU177,2,1
SKU178,25,2
SKU179,10,1
SKU180,8,2
SKU181,24,4
SKU182,0,1
SKU183,3,4
SKU184,26,1
SKU185,0,1
SKU186,4,2
SKU187,8,1
SKU188,63,3
SKU189,15,1
SKU190,13,1
SKU191,27,1
SKU192,0,2
SKU193,43,3
SKU194,4,1
SKU195,6,1
SKU196,21,1
SKU197,98,4
SKU198,15,1
SKU199,15,1
SKU200,5,1
SKU201,277,6
SKU202,9,3
SKU203,27,3
SKU204,146,2
SKU205,40,2
SKU206,0,1
SKU207,2,1
SKU208,5,1
SKU209,51,2
SKU210,9,1
SKU211,53,1
SKU212,1,1
SKU213,14,2
SKU214,10,1
SKU215,2,1
SKU216,29,1
SKU217,6,1
SKU218,26,1
SKU219,23,1
SKU220,0,1
SKU221,6,2
SKU222,119,5
SKU223,1437,2
SKU224,143,1
SKU225,25,1
SKU226,33,1
SKU227,33,7
SKU228,17,1
SKU229,14,1
SKU230,32,1
SKU231,130,3
SKU232,57,2
SKU233,75,2
SKU234,8,2
SKU235,4,1
SKU236,0,3
SKU237,8,1
SKU238,46,1
SKU239,13,1
SKU240,25,1
SKU241,15,1
SKU242,11,1
SKU243,9,1
SKU244,32,1
SKU245,4,3
SKU246,190,3
SKU247,98,2
SKU248,0,1
SKU249,16,5
SKU250,12,1
SKU251,48,1
SKU252,0,1
SKU253,29,2
SKU254,90,2
SKU255,1,4
SKU256,40,2
SKU257,5,1
SKU258,2,4
SKU259,130,2
SKU260,11,2
SKU261,6,1
SKU262,42,1
SKU263,2,1
SKU264,20,1
SKU265,11,1
SKU266,29,1
SKU267,1,1
SKU268,10,2
SKU269,58,3
SKU270,332,2
SKU271,9,3
SKU272,3,2
SKU273,15,1
SKU274,33,1
SKU275,4,2
SKU276,0,2
SKU277,27,2
SKU278,26,1
SKU279,38,6
SKU280,7,1
SKU281,0,1
SKU282,4,1
SKU283,20,2
SKU284,13,2
SKU285,11,1
SKU286,1,1
SKU287,27,1
SKU288,14,5
SKU289,14,2
SKU290,25,8
SKU291,221,1
SKU292,56,1
SKU293,11,1
SKU294,11,1
SKU295,123,7
SKU296,13,1
SKU297,22,2
SKU298,24,1
SKU299,26,2
SKU300,13,1
SKU301,1,2
SKU302,12,1
SKU303,5,3
SKU304,29,1
SKU305,18,1
SKU306,20,1
SKU307,3,1
SKU308,27,2
SKU309,4,1
SKU310,285,1
SKU311,2,1
SKU312,63,3
SKU313,45,3
SKU314,133,1
SKU315,47,1
SKU316,9,1
SKU317,0,1
SKU318,31,1
SKU319,16,3
SKU320,34,1
SKU321,20,3
SKU322,3,1
SKU323,14,1
SKU324,0,1
SKU325,4,2
SKU326,26,2
SKU327,9,1
SKU328,5,2
SKU329,41,4
SKU330,49,2
SKU331,32,1
SKU332,17,1
SKU333,7,1
SKU334,2,1
SKU335,2,1
SKU336,12,1
SKU337,11,1
SKU338,8,1
SKU339,9,1
SKU340,5,2
SKU341,0,1
SKU342,18,1
SKU343,18,1
SKU344,8,1
SKU345,32,2
SKU346,0,2
SKU347,28,1
SKU348,0,1
SKU349,16,1
SKU350,22,1
SKU351,49,1
SKU352,21,1
SKU353,1,2
SKU354,0,1
SKU355,2,2
SKU356,60,1
SKU357,8,1
SKU358,2,1
SKU359,12,1
SKU360,80,1
SKU361,0,2
SKU362,5,2
SKU363,41,2
SKU364,1,1
SKU365,11,1
SKU366,2,2
SKU367,6,1
SKU368,0,1
SKU369,82,2
SKU370,104,2
SKU371,135,2
SKU372,0,2
SKU373,47,1
SKU374,12,1
SKU375,25,1
SKU376,87,1
SKU377,20,3
SKU378,26,1
SKU379,0,1
SKU380,1,2
SKU381,3,1
SKU382,5,1
SKU383,89,2
SKU384,6,8
SKU385,38,1
SKU386,32,1
SKU387,6,2
SKU388,8,1
SKU389,29,1
SKU390,0,1
SKU391,13,1
SKU392,6,5
SKU393,23,1
SKU394,12,2
SKU395,3,1
SKU396,72,3
SKU397,49,1
SKU398,71,2
SKU399,7,8
SKU400,31,1
SKU401,6,2
SKU402,94,2
SKU403,43,1
SKU404,40,1
SKU405,25,1
SKU406,6,1
SKU407,16,1
SKU408,2,1
SKU409,11,1
SKU410,7,1
SKU411,127,6
SKU412,7,1
SKU413,11,5
SKU414,13,1
SKU415,86,3
SKU416,11,1
SKU417,0,1
SKU418,53,1
SKU419,17,5
SKU420,7,6
SKU421,45,1
SKU422,283,2
SKU423,4,1
SKU424,92,2
SKU425,1,1
SKU426,112,4
SKU427,1,1
SKU428,0,2
SKU429,1,5
SKU430,202,2
SKU431,9,1
SKU432,57,2
SKU433,7,1
SKU434,7,1
SKU435,8,1
SKU436,4,3
SKU437,32,3
SKU438,41,1
SKU439,5,1
SKU440,0,1
SKU441,5,1
SKU442,113,6
SKU443,2,3
SKU444,5,1
SKU445,18,1
SKU446,37,2
SKU447,1,1
SKU448,17,1
SKU449,39,4
SKU450,63,1
SKU451,10,1
SKU452,88,5
SKU453,34,4
SKU454,16,6
SKU455,35,2
SKU456,20,1
SKU457,10,1
SKU458,3,1
SKU459,56,3
SKU460,26,1
SKU461,0,1
SKU462,5,2
SKU463,16,4
SKU464,15,1
SKU465,0,2
SKU466,2,1
SKU467,5,1
SKU468,140,5
SKU469,43,1
SKU470,25,1
SKU471,30,1
SKU472,0,2
SKU473,0,1
SKU474,18,1
SKU475,13,1
SKU476,34,1
SKU477,2,1
SKU478,252,1
SKU479,25,1
SKU480,16,1
SKU481,44,1
SKU482,81,1
SKU483,15,1
SKU484,30,1
SKU485,41,1
SKU486,207,3
SKU487,7,1
SKU488,5,1
SKU489,11,1
SKU490,56,1
SKU491,7,1
SKU492,7,1
SKU493,49,6
SKU494,7,1
SKU495,10,2
SKU496,5,1
SKU497,6,1
SKU498,4,1
SKU499,27,2
SKU500,23,3
SKU501,20,1
SKU502,0,1
SKU503,19,2
SKU504,20,1
SKU505,1,1
SKU506,53,8
SKU507,20,2
SKU508,50,1
SKU509,3,1
SKU510,1,1
SKU511,14,1
SKU512,44,1
SKU513,20,3
SKU514,20,1
SKU515,8,2
SKU516,18,2
SKU517,9,1
SKU518,26,1
SKU519,58,1
SKU520,7,2
SKU521,57,1
SKU522,1,1
SKU523,23,1
SKU524,66,1
SKU525,0,3
SKU526,14,1
SKU527,3,1
SKU528,15,1
SKU529,39,1
SKU530,56,1
SKU531,33,1
SKU532,165,1
SKU533,99,1
SKU534,42,2
SKU535,8,6
SKU536,30,1
SKU537,5,1
SKU538,21,1
SKU539,66,2
SKU540,60,3
SKU541,8,2
SKU542,12,1
SKU543,54,1
SKU544,16,1
SKU545,0,1
SKU546,0,3
SKU547,21,3
SKU548,0,1
SKU549,152,2
SKU550,28,1
SKU551,21,2
SKU552,2,1
SKU553,266,6
SKU554,94,1
SKU555,14,2
SKU556,14,1
SKU557,85,1
SKU558,30,1
SKU559,64,1
SKU560,21,1
SKU561,101,5
SKU562,23,3
SKU563,0,1
SKU564,57,1
SKU565,103,1
SKU566,17,1
SKU567,136,5
SKU568,9,1
SKU569,21,1
SKU570,18,1
SKU571,91,1
SKU572,2,1
SKU573,99,1
SKU574,0,1
SKU575,0,1
SKU576,27,1
SKU577,23,1
SKU578,76,2
SKU579,18,1
SKU580,16,1
SKU581,98,2
SKU582,66,1
SKU583,27,1
SKU584,99,1
SKU585,9,2
SKU586,17,1
SKU587,61,7
SKU588,145,2
SKU589,4,1
SKU590,10,2
SKU591,54,3
SKU592,65,2
SKU593,0,1
SKU594,56,5
SKU595,10,1
SKU596,36,2
SKU597,18,1
SKU598,63,3
SKU599,11,2
SKU600,48,1
SKU601,38,1
SKU602,3,1
SKU603,73,1
SKU604,29,1
SKU605,2,3
SKU606,10,2
SKU607,181,9
SKU608,12,1
SKU609,59,1
SKU610,0,1
SKU611,0,1
SKU612,14,5
SKU613,7,2
SKU614,3,2
SKU615,4,1
SKU616,7,1
SKU617,4,1
SKU618,20,4
SKU619,61,2
SKU620,26,1
SKU621,21,1
SKU622,20,1
SKU623,10,2
SKU624,1,1
SKU625,4,2
SKU626,35,6
SKU627,32,1
SKU628,23,1
SKU629,20,2
SKU630,12,1
SKU631,4,1
SKU632,23,1
SKU633,11,1
SKU634,29,1
SKU635,5,1
SKU636,40,2
SKU637,2,1
SKU638,19,1
SKU639,23,1
SKU640,6,1
SKU641,89,2
SKU642,10,1
SKU643,20,2
SKU644,9,2
SKU645,7,2
SKU646,0,4
SKU647,22,1
SKU648,5,1
SKU649,18,1
SKU650,1,1
SKU651,7,1
SKU652,19,2
SKU653,11,1
SKU654,2,1
SKU655,5,1
SKU656,9,1
SKU657,14,3
SKU658,1,1
SKU659,14,1
SKU660,32,2
SKU661,2,1
SKU662,57,1
SKU663,2,1
SKU664,30,2
SKU665,39,2
SKU666,4,1
SKU667,11,1
SKU668,74,1
SKU669,17,1
SKU670,17,2
SKU671,85,2
SKU672,26,1
SKU673,0,1
SKU674,19,6
SKU675,8,1
SKU676,22,1
SKU677,55,3
SKU678,11,1
SKU679,50,1
SKU680,8,1
SKU681,27,1
SKU682,11,2
SKU683,44,1
SKU684,86,6
SKU685,22,1
SKU686,8,1
SKU687,10,1
SKU688,0,1
SKU689,1,1
SKU690,6,1
SKU691,3,1
SKU692,0,3
SKU693,0,1
SKU694,8,1
SKU695,26,1
SKU696,2,1
SKU697,0,2
SKU698,29,2
SKU699,40,1
SKU700,24,1
SKU701,74,1
SKU702,11,1
SKU703,0,1
SKU704,48,2
SKU705,219,1
SKU706,29,2
SKU707,38,1
SKU708,1,1
SKU709,51,1
SKU710,0,2
SKU711,8,1
SKU712,0,1
SKU713,114,4
SKU714,38,1
SKU715,75,1
SKU716,5,1
SKU717,0,1
SKU718,23,2
SKU719,1,2
SKU720,37,2
SKU721,22,1
SKU722,74,1
SKU723,0,1
SKU724,0,1
SKU725,14,3
SKU726,36,1
SKU727,22,1
SKU728,1,1
SKU729,52,6
SKU730,15,2
SKU731,24,9
SKU732,25,1
SKU733,4,1
SKU734,9,1
SKU735,3,1
SKU736,90,1
SKU737,14,1
SKU738,20,1
SKU739,90,1
SKU740,8,2
SKU741,44,1
SKU742,32,1
SKU743,48,2
SKU744,2,1
SKU745,0,1
SKU746,11,3
SKU747,22,2
SKU748,10,1
SKU749,5,1
SKU750,13,1
SKU751,345,3
SKU752,313,1
SKU753,7,1
SKU754,6,1
SKU755,170,8
SKU756,274,1
SKU757,15,1
SKU758,3,1
SKU759,2,1
SKU760,2,1
SKU761,31,1
SKU762,29,3
SKU763,21,1
SKU764,14,1
SKU765,12,2
SKU766,2,1
SKU767,9,1
SKU768,16,1
SKU769,11,6
SKU770,125,4
SKU771,97,5
SKU772,85,1
SKU773,4,8
SKU774,3,9
SKU775,19,1
SKU776,55,1
SKU777,6,1
SKU778,5,1
SKU779,11,2
SKU780,0,1
SKU781,13,2
SKU782,10,9
SKU783,32,2
SKU784,60,3
SKU785,71,2
SKU786,28,2
SKU787,1,2
SKU788,12,1
SKU789,3,1
SKU790,8,1
SKU791,5,1
SKU792,5,9
SKU793,15,1
SKU794,120,1
SKU795,4,1
SKU796,18,3
SKU797,12,1
SKU798,2,2
SKU799,27,1
SKU800,9,1
SKU801,6,2
SKU802,8,1
SKU803,54,2
SKU804,5,1
SKU805,117,2
SKU806,143,1
SKU807,15,1
SKU808,3,2
SKU809,22,1
SKU810,8,1
SKU811,2,3
SKU812,4,1
SKU813,75,2
SKU814,14,1
SKU815,9,1
SKU816,2,1
SKU817,26,2
SKU818,32,1
SKU819,5,2
SKU820,1270,5
SKU821,1,2
SKU822,35,1
SKU823,59,4
SKU824,16,4
SKU825,57,4
SKU826,42,8
SKU827,19,1
SKU828,7,3
SKU829,0,1
SKU830,58,2
SKU831,19,1
SKU832,16,1
SKU833,4,1
SKU834,11,2
SKU835,19,2
SKU836,319,10
SKU837,33,1
SKU838,1,1
SKU839,22,2
SKU840,9,1
SKU841,3,1
SKU842,5,1
SKU843,13,1
SKU844,291,3
SKU845,0,1
SKU846,27,2
SKU847,1,1
SKU848,5,2
SKU849,0,1
SKU850,60,1
SKU851,0,1
SKU852,15,6
SKU853,11,1
SKU854,4,1
SKU855,17,3
SKU856,9,1
SKU857,111,2
SKU858,0,2
SKU859,0,1
SKU860,22,2
SKU861,3,1
SKU862,42,2
SKU863,687,7
SKU864,0,1
SKU865,0,1
SKU866,1,1
SKU867,12,1
SKU868,48,3
SKU869,22,2
SKU870,10,1
SKU871,8,9
SKU872,37,1
SKU873,20,1
SKU874,47,6
SKU875,6,1
SKU876,2,1
SKU877,126,2
SKU878,61,1
SKU879,19,1
SKU880,49,1
SKU881,13,2
SKU882,80,3
SKU883,15,1
SKU884,33,1
SKU885,61,1
SKU886,13,2
SKU887,6,1
SKU888,40,1
SKU889,37,1
SKU890,61,2
SKU891,1,1
SKU892,2,1
SKU893,5,1
SKU894,29,1
SKU895,10,1
SKU896,0,1
SKU897,0,2
SKU898,7,1
SKU899,14,1
SKU900,20,1
SKU901,15,1
SKU902,33,5
SKU903,23,1
SKU904,19,1
SKU905,28,1
SKU906,117,2
SKU907,9,2
SKU908,12,1
SKU909,26,1
SKU910,28,1
SKU911,2,1
SKU912,0,1
SKU913,0,2
SKU914,0,7
SKU915,35,1
SKU916,2,1
SKU917,21,1
SKU918,0,1
SKU919,4,1
SKU920,20,1
SKU921,0,2
SKU922,15,1
SKU923,21,1
SKU924,29,1
SKU925,68,2
SKU926,101,2
SKU927,126,2
SKU928,8,1
SKU929,5,2
SKU930,234,7
SKU931,34,1
SKU932,0,4
SKU933,14,1
SKU934,4,1
SKU935,1,1
SKU936,0,2
SKU937,54,1
SKU938,1,2
SKU939,85,3
SKU940,1,1
SKU941,1,1
SKU942,1,7
SKU943,3,4
SKU944,66,1
SKU945,0,2
SKU946,8,1
SKU947,7,1
SKU948,58,3
SKU949,14,1
SKU950,0,1
SKU951,10,2
SKU952,32,1
SKU953,17,1
SKU954,9,1
SKU955,9,1
SKU956,32,1
SKU957,3,1
SKU958,9,3
SKU959,35,3
SKU960,7,1
SKU961,4,1
SKU962,64,3
SKU963,7,1
SKU964,85,3
SKU965,8,1
SKU966,23,3
SKU967,1,1
SKU968,4,1
SKU969,3,1
SKU970,4,2
SKU971,2,3
SKU972,13,1
SKU973,0,1
SKU974,15,2
SKU975,80,1
SKU976,15,1
SKU977,0,3
SKU978,32,1
SKU979,5,1
SKU980,0,1
SKU981,38,2
SKU982,6,1
SKU983,1,2
SKU984,0,1
SKU985,2,2
SKU986,3,1
SKU987,0,4
SKU988,0,1
SKU989,8,3
SKU990,20,7
SKU991,59,1
SKU992,27,1
SKU993,26,2
SKU994,33,1
SKU995,7,3
SKU996,0,1
SKU997,0,1
SKU998,20,1
SKU999,12,1
SKU1000,6,1
SKU1001,0,1
SKU1002,7,1
SKU1003,6,1
SKU1004,7,1
SKU1005,126,2
SKU1006,0,1
SKU1007,9,1
SKU1008,42,1
SKU1009,51,1
SKU1010,6,2
SKU1011,1458,1
SKU1012,33,2
SKU1013,30,1
SKU1014,2,1
SKU1015,14,1
SKU1016,50,5
SKU1017,30,1
SKU1018,2,1
SKU1019,24,1
SKU1020,10,1
SKU1021,5,1
SKU1022,0,1
SKU1023,25,2
SKU1024,33,1
SKU1025,9,1
SKU1026,11,1
SKU1027,21,3
SKU1028,1,1
SKU1029,5,1
SKU1030,2,1
SKU1031,8,3
SKU1032,230,9
SKU1033,95,1
SKU1034,2,1
SKU1035,17,1
SKU1036,25,1
SKU1037,12,1
SKU1038,0,1
SKU1039,16,1
SKU1040,4,1
SKU1041,0,1
SKU1042,57,4
SKU1043,5,1
SKU1044,14,1
SKU1045,40,1
SKU1046,2004,2
SKU1047,10,2
SKU1048,30,1
SKU1049,3,1
SKU1050,10,1
SKU1051,8,1
SKU1052,0,2
SKU1053,22,1
SKU1054,86,1
SKU1055,5,6
SKU1056,7,1
SKU1057,0,1
SKU1058,21,1
SKU1059,73,1
SKU1060,49,3
SKU1061,8,1
SKU1062,46,6
SKU1063,48,1
SKU1064,28,3
SKU1065,0,1
SKU1066,13,2
SKU1067,8,1
SKU1068,20,2
SKU1069,13,1
SKU1070,55,1
SKU1071,189,9
SKU1072,18,1
SKU1073,47,1
SKU1074,8,1
SKU1075,0,1
SKU1076,11,2
SKU1077,0,2
SKU1078,13,3
SKU1079,56,3
SKU1080,1,1
SKU1081,36,1
SKU1082,54,1
SKU1083,32,1
SKU1084,21,1
SKU1085,18,3
SKU1086,6,2
SKU1087,94,7
SKU1088,8,3
SKU1089,5,1
SKU1090,17,2
SKU1091,15,2
SKU1092,11,4
SKU1093,24,1
SKU1094,16,2
SKU1095,1,1
SKU1096,28,5
SKU1097,1,2
SKU1098,13,1
SKU1099,15,1
SKU1100,5,1
SKU1101,13,4
SKU1102,8,2
SKU1103,17,1
SKU1104,4,1
SKU1105,5,1
SKU1106,17,3
SKU1107,10,1
SKU1108,6,1
SKU1109,11,2
SKU1110,2,1
SKU1111,0,1
SKU1112,0,1
SKU1113,2,1
SKU1114,1,3
SKU1115,6,5
SKU1116,1,1
SKU1117,2,1
SKU1118,0,1
SKU1119,0,1
SKU1120,16,1
SKU1121,63,2
SKU1122,6,2
SKU1123,53,1
SKU1124,73,2
SKU1125,0,1
SKU1126,9,1
SKU1127,2,1
SKU1128,13,4
SKU1129,63,4
SKU1130,68,2
SKU1131,22,7
SKU1132,36,2
SKU1133,38,1
SKU1134,0,1
SKU1135,122,1
SKU1136,5,1
SKU1137,0,3
SKU1138,43,3
SKU1139,7,3
SKU1140,56,2
SKU1141,23,1
SKU1142,132,1
SKU1143,5,1
SKU1144,15,1
SKU1145,15,1
SKU1146,4,2
SKU1147,12,1
SKU1148,25,2
SKU1149,3,2
SKU1150,13,2
SKU1151,12,3
SKU1152,7,1
SKU1153,31,2
SKU1154,0,1
SKU1155,6,1
SKU1156,3,1
SKU1157,1,2
SKU1158,126,1
SKU1159,0,1
SKU1160,9,2
SKU1161,5,1
SKU1162,5,1
SKU1163,403,7
SKU1164,52,2
SKU1165,7,3
SKU1166,0,1
SKU1167,70,4
SKU1168,85,3
SKU1169,40,3
SKU1170,21,1
SKU1171,12,1
SKU1172,0,1
SKU1173,4,1
SKU1174,41,1
SKU1175,17,1
SKU1176,6,1
SKU1177,6,1
SKU1178,46,2
SKU1179,20,1
SKU1180,19,1
SKU1181,7,3
SKU1182,8,2
SKU1183,11,1
SKU1184,9,1
SKU1185,15,1
SKU1186,10,1
SKU1187,26,2
SKU1188,28,1
SKU1189,1,3
SKU1190,23,2
SKU1191,14,2
SKU1192,20,1
SKU1193,19,1
SKU1194,0,1
SKU1195,48,1
SKU1196,15,3
SKU1197,14,1
SKU1198,63,1
SKU1199,67,2
SKU1200,0,1
SKU1201,10,1
SKU1202,31,1
SKU1203,24,1
SKU1204,110,2
SKU1205,25,2
SKU1206,23,1
SKU1207,0,2
SKU1208,7,2
SKU1209,0,2
SKU1210,0,1
SKU1211,6,7
SKU1212,7,1
SKU1213,2,2
SKU1214,25,1
SKU1215,15,1
SKU1216,7,1
SKU1217,8,1
SKU1218,16,1
SKU1219,19,1
SKU1220,21,2
SKU1221,1,1
SKU1222,17,1
SKU1223,16,1
SKU1224,22,1
SKU1225,14,1
SKU1226,27,1
SKU1227,15,1
SKU1228,17,1
SKU1229,0,2
SKU1230,14,1
SKU1231,9,1
SKU1232,4,1
SKU1233,9,1
SKU1234,22,1
SKU1235,0,1
SKU1236,1,2
SKU1237,3,1
SKU1238,0,1
SKU1239,112,1
SKU1240,13,2
SKU1241,49,6
SKU1242,0,1
SKU1243,15,1
SKU1244,31,1
SKU1245,16,1
SKU1246,51,1
SKU1247,18,1
SKU1248,109,1
SKU1249,22,1
SKU1250,13,1
SKU1251,45,1
SKU1252,18,2
SKU1253,58,2
SKU1254,5,1
SKU1255,47,1
SKU1256,51,1
SKU1257,14,1
SKU1258,117,6
SKU1259,4,1
SKU1260,58,1
SKU1261,25,1
