SKU,init_stock,vlt
SKU0,20,1
SKU1,172,2
SKU2,10,2
SKU3,15,2
SKU4,2,2
SKU5,30,1
SKU6,2,1
SKU7,11,8
SKU8,109,1
SKU9,19,1
SKU10,7,2
SKU11,15,1
SKU12,20,1
SKU13,27,1
SKU14,39,3
SKU15,10,10
SKU16,51,3
SKU17,57,2
SKU18,15,1
SKU19,34,1
SKU20,40,2
SKU21,18,1
SKU22,156,2
SKU23,16,2
SKU24,30,1
SKU25,107,1
SKU26,11,1
SKU27,39,1
SKU28,32,2
SKU29,18,3
SKU30,87,3
SKU31,41,2
SKU32,39,2
SKU33,7,2
SKU34,17,1
SKU35,130,1
SKU36,24,4
SKU37,1,1
SKU38,2,1
SKU39,11,1
SKU40,0,1
SKU41,15,2
SKU42,5,1
SKU43,1,1
SKU44,0,1
SKU45,118,3
SKU46,37,1
SKU47,1,1
SKU48,0,1
SKU49,7,1
SKU50,84,1
SKU51,0,1
SKU52,305,1
SKU53,27,2
SKU54,13,1
SKU55,67,2
SKU56,154,1
SKU57,0,1
SKU58,118,1
SKU59,1,1
SKU60,53,2
SKU61,24,1
SKU62,0,1
SKU63,34,3
SKU64,2,1
SKU65,8,1
SKU66,30,1
SKU67,0,1
SKU68,4,2
SKU69,3,1
SKU70,51,1
SKU71,13,1
SKU72,4,2
SKU73,30,2
SKU74,106,1
SKU75,11,1
SKU76,13,1
SKU77,0,2
SKU78,10,2
SKU79,12,1
SKU80,227,1
SKU81,5,1
SKU82,137,1
SKU83,11,1
SKU84,8,1
SKU85,10,1
SKU86,24,2
SKU87,5,3
SKU88,98,1
SKU89,1,1
SKU90,18,1
SKU91,23,1
SKU92,93,3
SKU93,98,8
SKU94,13,1
SKU95,10,2
SKU96,6,1
SKU97,36,1
SKU98,0,1
SKU99,12,1
SKU100,4,1
SKU101,101,2
SKU102,26,1
SKU103,28,1
SKU104,11,2
SKU105,7,2
SKU106,5,1
SKU107,22,2
SKU108,49,1
SKU109,0,1
SKU110,537,9
SKU111,20,2
SKU112,622,3
SKU113,0,1
SKU114,54,1
SKU115,12,1
SKU116,56,1
SKU117,23,1
SKU118,6,1
SKU119,164,4
SKU120,132,2
SKU121,15,3
SKU122,13,1
SKU123,7,1
SKU124,126,2
SKU125,16,2
SKU126,222,7
SKU127,1,1
SKU128,48,1
SKU129,14,1
SKU130,4,2
SKU131,14,3
SKU132,10,2
SKU133,21,1
SKU134,16,1
SKU135,38,1
SKU136,9,1
SKU137,2,1
SKU138,54,2
SKU139,32,1
SKU140,2,1
SKU141,7,2
SKU142,2,1
SKU143,25,1
SKU144,19,1
SKU145,0,1
SKU146,6,1
SKU147,3,1
SKU148,4,2
SKU149,143,5
SKU150,81,2
SKU151,50,3
SKU152,50,1
SKU153,38,1
SKU154,11,1
SKU155,9,1
SKU156,5,3
SKU157,105,2
SKU158,28,2
SKU159,12,1
SKU160,24,1
SKU161,2,1
SKU162,1,6
SKU163,14,5
SKU164,3,3
SKU165,4,1
SKU166,71,3
SKU167,171,2
SKU168,9,1
SKU169,22,1
SKU170,4,2
SKU171,16,1
SKU172,12,1
SKU173,2,1
SKU174,17,1
SKU175,1,1
SKU176,3,1
SKU177,1,1
SKU178,19,4
SKU179,11,1
SKU180,0,2
SKU181,11,2
SKU182,0,1
SKU183,3,3
SKU184,36,3
SKU185,0,1
SKU186,28,1
SKU187,12,1
SKU188,329,4
SKU189,7,1
SKU190,8,1
SKU191,20,1
SKU192,0,2
SKU193,128,4
SKU194,11,1
SKU195,10,1
SKU196,12,1
SKU197,130,3
SKU198,7,1
SKU199,37,1
SKU200,6,1
SKU201,114,5
SKU202,102,7
SKU203,39,1
SKU204,317,2
SKU205,5,1
SKU206,0,1
SKU207,21,1
SKU208,3,1
SKU209,21,2
SKU210,11,1
SKU211,66,2
SKU212,10,1
SKU213,15,1
SKU214,22,1
SKU215,2,1
SKU216,46,1
SKU217,10,1
SKU218,40,1
SKU219,43,2
SKU220,5,1
SKU221,9,1
SKU222,65,8
SKU223,2415,1
SKU224,252,2
SKU225,26,1
SKU226,6,1
SKU227,72,4
SKU228,0,1
SKU229,6,1
SKU230,54,1
SKU231,153,3
SKU232,68,1
SKU233,126,2
SKU234,5,2
SKU235,150,2
SKU236,0,2
SKU237,23,1
SKU238,110,1
SKU239,60,1
SKU240,8,1
SKU241,30,1
SKU242,3,1
SKU243,20,1
SKU244,124,1
SKU245,25,2
SKU246,2287,9
SKU247,27,1
SKU248,0,1
SKU249,4,4
SKU250,16,1
SKU251,22,2
SKU252,0,1
SKU253,21,1
SKU254,208,1
SKU255,17,5
SKU256,51,3
SKU257,4,2
SKU258,24,3
SKU259,124,1
SKU260,1,1
SKU261,39,2
SKU262,3,2
SKU263,20,1
SKU264,28,1
SKU265,2,1
SKU266,23,1
SKU267,18,1
SKU268,16,1
SKU269,39,5
SKU270,134,2
SKU271,0,1
SKU272,0,1
SKU273,0,1
SKU274,35,1
SKU275,8,1
SKU276,0,1
SKU277,0,2
SKU278,49,1
SKU279,51,8
SKU280,7,2
SKU281,0,1
SKU282,16,1
SKU283,17,2
SKU284,8,1
SKU285,16,1
SKU286,1,2
SKU287,2,2
SKU288,52,5
SKU289,1,2
SKU290,30,7
SKU291,8,1
SKU292,71,3
SKU293,41,1
SKU294,16,1
